id,persona,group,purchasingAuthority,decisionRole,oneCallCategories,oneCallWorkTypes,matchKeywords,intents,needs,wants,painPoints,guidance,services,accessModes,siteSpecific,proPotential,managerEscalation,conversionPriority,summary
householder,Householder / member of public,Public / domestic,Direct buyer,Low technical knowledge buyer,Domestic Works (General public) | Planning Applications,Domestic building project | Driveway works | Fencing / gates | Single property,householder | homeowner | home extension | garden | driveway | fence | fencing | gate | digging at home | extension,planning a home extension | installing a fence | building a driveway | digging in a garden,Plain-English safe digging advice | Simple explanation of service connections | Confidence before digging,Quick checklist | Know if a utility search is needed | Avoid damaging services,Does not know where buried services are | Technical language can be intimidating | Long forms can deter action,Householder Safe Digging Checklist | Service connection risk guide | Fencing and gates guidance | HSG47 summary,OneCall Utility Search | Top-Up Search | Select Surveys Quote Request,Guest for guidance | Login for OneCall | Login for quote,Optional until search/report,Low,No,"Guidance first, optional OneCall",Public user needing simple reassurance and an easy route into OneCall when ground disturbance is planned.
small-builder,Small builder,Contractor / trades,Direct buyer,Practical buyer / doer,Domestic Works (General public) | Utility Works | Planning Applications,Domestic building project | Driveway works | Single excavations site (1.5m or shallower),builder | small builder | extension | foundations | service trench | drainage | driveway | installing services,building extension | installing services | drainage works | foundations,Quick plan access | Practical safe digging guidance | Cost-effective risk controls,Avoid delay | Avoid service strike | One route for plans and survey quote,Time pressure | Unclear private services | May not know when survey is warranted,HSG47 summary | Householder Safe Digging Checklist | PAS128 summary guide,OneCall Utility Search | Top-Up Search | Select Surveys Quote Request | PAS128 / GPR Survey Quote,Guest for guidance | Login for search / quote,Yes for OneCall or survey quote,Medium,No,OneCall and quote route,"Small business buyer with practical need for fast, reliable decisions."
fencing-contractor,Fencing contractor,Contractor / trades,Direct buyer in small firms; doer in larger firms,Operational doer / buyer,Domestic Works (General public) | Highways,Fencing / gates | Street furniture,fence | fencing | gate | gates | post holes | boundary | hedge line | service connection,installing fence posts | replacing boundary fencing | installing gates,Shallow service connection awareness | Boundary works guidance | Fast check before post holes,Avoid hitting service connections | Simple job-specific advice | Plan plus checklist,Shallow service connections near boundaries | Small job margins | Often under pressure to start quickly,Fencing and gates guidance | Service connection risk guide | HSG47 summary | Householder Safe Digging Checklist,OneCall Utility Search | Top-Up Search | Select Surveys Quote Request,Guest for guidance | Login for OneCall / quote,Yes for search or survey,Medium,Sometimes,Guidance plus OneCall Core,High-risk practical user who benefits from persona-specific prompts before OneCall.
hedging-landscaping,Hedging / landscaping contractor,Contractor / trades,Direct buyer or doer,Operational buyer,Domestic Works (General public) | Planning Applications,Tree preservation order | Fencing / gates | Domestic building project,hedge | hedging | landscaping | landscape | tree planting | planting | tpo | root protection | garden works,planting hedging | landscaping garden | tree planting | working near protected trees,TPO prompts | Root-zone and service-risk guidance | Domestic safe digging advice,Know if protected tree constraints apply | Avoid service strikes | Simple public-facing resources for client,Private utilities and old services | Unclear environmental restrictions | Low budget for investigations,TPO guidance | Environmental restrictions guide | Householder Safe Digging Checklist | Service connection risk guide,OneCall Utility Search | Environmental Constraints Report | Top-Up Search,Guest for guidance | Login for reports/search,Yes for constraints or OneCall,Low to medium,Sometimes,"Guidance first, report/search if site-specific","Small-works user with crossover between safe digging, TPO and environmental constraints."
drainage-contractor,Drainage contractor,Contractor / specialist,Direct buyer / doer,Operational buyer,Watercourses/Canals/Drainage | Domestic Works (General public) | Utility Works,Ditch clearance | Field drainage | Single excavations site (1.5m or shallower),drainage | drain | ditch | culvert | sewer | cctv drainage | field drainage | watercourse | canal,drain repair | field drainage | ditch clearance | working near watercourse,Drainage and utility proximity | Watercourse risk insight | CCTV or survey options,Avoid unknown drains/services | Know if open water constraints matter | Fast report options,Older drainage routes not obvious | Water authorities and private services | Environmental constraints uncertainty,Watercourses and drainage guidance | HSG47 summary | Open water risk explainer,OneCall Utility Search | Open Water Proximity Risk Report | CCTV drainage survey | Top-Up Search,Guest guidance | Login for OneCall/report/quote,Yes,Medium,No,OneCall + Open Water / CCTV route,Specialist works persona needing utility and water-related recommendations together.
groundworks-contractor,Groundworks contractor,Contractor / civils,Direct buyer / project buyer,Operational project buyer,Utility Works | Domestic Works (General public) | Highways,Single excavations site (1.5m or shallower) | Single excavations site (deeper than 1.5m) | Linear project in highway,groundworks | excavation | dig | trench | foundations | site preparation | earthworks | service trench,excavation | foundations | service trench | site preparation,Utility avoidance | Survey specification | Safe excavation controls,Reduce strike risk | Avoid delay | Coordinate surveys and works,Plan ambiguity | Live services | Late survey ordering,HSG47 summary | PAS128 summary guide | Utility plans explained,OneCall Utility Search | Top-Up Search | PAS128 / GPR Survey Quote | Vacuum Excavation Request,Guest guidance | Login for search / quote | Pro for repeat projects,Yes,High,No,OneCall + survey / vacuum excavation,Core contractor persona where OneCall remains central but service conversion is strong.
civils-contractor,Civils contractor,Contractor / civils,Direct buyer / project buyer,Project buyer,Utility Works | Highways | Planning Applications,Linear project in highway | Linear project cross country | Single excavations site (deeper than 1.5m),civils | civil engineering | linear works | road works | deep excavation | infrastructure scheme | site compound,civils scheme | linear works | road works | deep excavation,Utility plans at scale | Survey and large site handling | Evidence and safety controls,Manage risk early | Reduce programme delay | Procure services efficiently,Complex geography | Multiple utilities | Survey procurement friction,HSG47 summary | PAS128 summary guide | Large site guidance,OneCall Utility Search | Large Site Search | Comprehensive Premium Search | PAS128 / GPR Survey Quote | Vacuum Excavation Request,Login | Pro recommended,Yes,High,No,Pro / premium services,High-value buyer for site-specific and premium service recommendations.
highways-contractor,Highways contractor,Contractor / highways,Direct buyer / framework buyer,Project buyer,Highways | Utility Works,Resurfacing | Street furniture | Traffic calming | Linear project in highway,highway | highways | resurfacing | street furniture | traffic calming | roadworks | road works | s278 | s38,resurfacing road | installing street furniture | traffic calming | highway excavation,Highway corridor risk | Safe systems near dense utilities | Repeat job workflows,Reduce highway strike risk | Evidence for compliance | Fast repeat search process,High utility density | Traffic-sensitive programmes | Multiple small sites,Highways guidance | HSG47 summary | PAS128 summary guide,OneCall Utility Search | Comprehensive Premium Search | PAS128 / GPR Survey Quote | Vacuum Excavation Request,Login | Pro for repeat users,Yes,High,No,OneCall + premium survey/field services,Repeat persona with strong service conversion potential.
utility-contractor,Utility contractor,Utility / asset owner supply chain,Direct buyer / operational buyer,Operational buyer,Utility Works,Single excavations site (1.5m or shallower) | Single excavations site (deeper than 1.5m) | Linear project in highway | Emergency,utility contractor | repair main | repair cable | repair pipe | emergency works | install utility | replace main | network repair,repair utility asset | install utility asset | emergency works | replace main,Fast compliant search | Emergency/planned distinction | Repeat workflows,Reduce admin | Keep audit trail | Use saved templates,Time pressure | Live assets | Process duplication,HSG47 summary | Emergency works guidance | Utility plans explained,OneCall Utility Search | Saved templates | History and resubmit | Pro account,Login | Pro likely,Yes,High,No,OneCall with account workflow,Core OneCall persona where repeat workflows drive retention.
utility-company,Utility company / asset owner,Utility / asset owner,Strategic buyer,Enterprise buyer / stakeholder,Utility Works,Multiple utility works categories,utility company | asset owner | network operator | asset management | strike reduction | third party works,asset management | safe works governance | third-party strike reduction,Industry safety influence | Data/process alignment | Governance reporting,Reduce strikes | Improve third-party compliance | Access industry insights,Inconsistent contractor behaviour | Fragmented ecosystem | Emerging NUAR dynamics,Premium industry insight | Safe digging policy content | Incident prevention guidance,Pro account | Partner dashboard | API/payload export | Training / compliance content,Pro / enterprise,Sometimes,Very high,No,Enterprise/pro conversation,Strategic stakeholder rather than simple search submitter.
c2-collator,C2 pack collator,Pack / evidence,Operational doer,Gatekeeper,Utility Works | Highways | Planning Applications,Depends on project type,c2 pack | c2 collator | utility pack | tender pack | collating plans | collect utility responses | stats pack,compile C2 pack | prepare tender utility pack | collect utility responses,Fast evidence collection | Repeat submissions | Coverage confidence,Less chasing | Clear response record | Expiry reminders,No direct purchase authority | Chasing missing responses | Repeat admin | Coverage ambiguity,Utility plans explained | C2 pack checklist | HSG47 summary,OneCall Utility Search | Top-Up Search | Comprehensive Premium Search | History | 28-day reminder | Resubmit enquiry,Login | Manager approval for premium services,Yes,Medium via manager,Yes,OneCall + history + manager escalation,Doer persona with operational need but limited purchasing authority.
c2-manager,C2 pack collator’s manager,Pack / evidence,Buyer / approving manager,Manager / approver,Utility Works | Highways | Planning Applications,Depends on project type,c2 manager | utility pack manager | approve c2 | manage collators | premium search approval | pack quality,manage utility pack process | approve premium search | monitor repeat searches,Visibility and quality control | Cost/value comparison | Repeat workflow management,Fewer missed risks | Team history | Assurance pack,No central oversight | Quality varies by collator | Premium services need justification,C2 pack manager guide | Comprehensive search explainer | Top-Up value explainer,Pro account | Comprehensive Premium Search | Team dashboard | Bulk history | 28-day reminders,Login / Pro,Yes,High,No,Pro/team dashboard and premium services,Manager persona connecting doer activity to paid/premium conversion.
senior-contractor-manager,Senior contractor manager,Management / decision maker,Strategic buyer,Decision maker,Not initially dropdown-led,Not initially work-type-led,senior manager | director | tier 1 | head of delivery | operations director | safe digging governance | industry risk,understand industry risk | improve safe digging governance | procure services | manage multiple projects,Industry insight | Governance and risk reduction | Service overview without enquiry first,Trusted gateway | Commercial options | Premium account benefits,Not the person submitting searches | No time for operational forms | Fragmented industry knowledge,Executive safe digging briefing | Industry news | Incident prevention guide | Premium blogs,Pro account | Select Surveys Quote Request | Vacuum Excavation Request | Large Site bundle | Premium services pack,Guest first | Pro conversion,Not initially,Very high,No,Pro / procurement conversion,High purchasing-power persona not necessarily submitting enquiries.
hs-manager,Health and safety manager,Management / compliance,Influencer / budget holder,Compliance influencer,Utility Works | Highways | Domestic Works (General public),Multiple excavation categories,health and safety | h&s | safety manager | safe digging policy | toolbox talk | reduce strikes | compliance,improve safe digging policy | train teams | reduce service strikes,Policy content | Toolbox talks | Audit evidence,Consistent safe systems | Easy team guidance | Evidence of compliance,Field behaviour inconsistency | Training fatigue | Hard to monitor compliance,Toolbox talks | HSG47 summary | Safe digging policy pack | Incident prevention guide,Pro account | Training content | Team dashboard | Evidence packs,Guest for resources | Pro for premium/team tools,Sometimes,High,Not if budget holder,Pro content / training modules,Influencer persona likely to drive organisational adoption and repeat use.
procurement-manager,Procurement manager,Management / procurement,Buyer,Commercial buyer,Not initially dropdown-led,Not initially work-type-led,procurement | buyer | buy surveys | supplier | service package | prepaid | purchase order | quote,buy service packages | request surveys | manage supplier spend,Clear service scope | Pricing / quote routes | Supplier confidence,Easy procurement workflow | Prepaid services | Auditable purchase route,Unclear service definitions | Ad hoc buying | No central visibility,Service catalogue | Pro account explainer | Premium bundle guide,Select Surveys Quote Request | Vacuum Excavation Request | Pro account | Prepaid service credits,Login / Pro,Often but not always,High,No,Service catalogue / pro account,Commercial persona who can convert to service bundles without starting in OneCall.
estate-manager,Estate manager / facilities manager,Property / estate,Direct buyer,Portfolio buyer,Domestic Works (General public) | Planning Applications | Highways,Fencing / gates | Driveway works | Tree preservation order | Street furniture,estate manager | facilities manager | fm | property maintenance | portfolio | campus | grounds maintenance,manage estate works | contractor oversight | repeat small works | maintenance excavation,Portfolio guidance | Contractor checklists | Repeat job history,Consistent process | Saved sites | Reduce small works risk,Many small jobs | Contractors vary in competence | No single record,Estate safe digging checklist | Contractor briefing pack | HSG47 summary,OneCall Utility Search | Pro account | Saved projects | Select Surveys Quote Request | Environmental Constraints Report,Guest for guidance | Login / Pro for portfolio,Yes for sites,High,No,Pro / portfolio workflow,"Strong persona for library, account and repeat-service logic."
architect,Architect,Professional / design,Specifier and sometimes direct buyer,Specifier,Planning Applications | Domestic Works (General public),Single property | Domestic building project | Tree preservation order,architect | architecture | design | planning drawing | client advice | early design | design risk,early design risk | planning application | advise client | design around constraints,Early constraints | Client-friendly guidance | Survey/report routes,Avoid late discovery | Improve design advice | Commission right survey,Client does not budget for searches | Utilities discovered late | Planning constraints fragmented,Planning and environmental resource pack | PAS128 summary guide | TPO guidance,OneCall Utility Search | Top-Up Search | Comprehensive Premium Search | Select Surveys Quote Request | Environmental Constraints Report,Guest for guidance | Login for site-specific,Often,Medium,No,Guidance to site-specific reports/searches,Specifier persona that drives recommendations before the client knows a search is needed.
